title,movieId,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,movie_imdb_link
Stonewall,151557,Roland Emmerich,Caleb Landry Jones,Drama,Jeremy Irvine,Stonewall ,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1
Basquiat,851,Julian Schnabel,Michael Wincott,Biography|Drama,Gary Oldman,Basquiat ,Courtney Love,andy warhol|art|artist|friendship|street artist,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1
Mr. Smith Goes to Washington,954,Frank Capra,Jean Arthur,Comedy|Drama,Claude Rains,Mr. Smith Goes to Washington ,Thomas Mitchell,camp|corruption|governor|senate|u.s. senate,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1
Cat on a Hot Tin Roof,971,Richard Brooks,Judith Anderson,Drama|Romance,Burl Ives,Cat on a Hot Tin Roof ,Jack Carson,cancer|football|homosexuality|marriage|mississippi,http://www.imdb.com/title/tt0051459/?ref_=fn_tt_tt_1
Michael Collins,991,Neil Jordan,Liam Neeson,Biography|Drama|Thriller|War,Alan Rickman,Michael Collins ,Julia Roberts,ireland|irish|irish civil war|irish free state|sinn fein,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1
Trees Lounge,1051,Steve Buscemi,Debi Mazar,Comedy|Drama,Steve Buscemi,Trees Lounge ,Carol Kane,alcoholic drink|bar|drink|drinking|drunk,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1
Get on the Bus,1054,Spike Lee,Harry Lennix,Drama|History,Bernie Mac,Get on the Bus ,Andre Braugher,actor|bus|march|million man march|religion,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1
Glengarry Glen Ross,1095,James Foley,Al Pacino,Crime|Drama|Mystery,Kevin Spacey,Glengarry Glen Ross ,Jude Ciccolella,office|pressure|real estate|robbery|sales,http://www.imdb.com/title/tt0104348/?ref_=fn_tt_tt_1
Sleepover,1115,Joe Nussbaum,Alexa PenaVega,Comedy|Romance,Steve Carell,Sleepover ,Hunter Parrish,best friend|party|rival|scavenger hunt|sleepover,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1
Sleepover,8642,Joe Nussbaum,Alexa PenaVega,Comedy|Romance,Steve Carell,Sleepover ,Hunter Parrish,best friend|party|rival|scavenger hunt|sleepover,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1
Get Over It,1142,Tommy O'Haver,Kirsten Dunst,Comedy|Romance,Mila Kunis,Get Over It ,Carmen Electra,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1
Get Over It,4168,Tommy O'Haver,Kirsten Dunst,Comedy|Romance,Mila Kunis,Get Over It ,Carmen Electra,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1
"Sex, Lies, and Videotape",1186,Steven Soderbergh,Laura San Giacomo,Drama,Peter Gallagher,"Sex, Lies, and Videotape ",Steven Brill,affair|interview|marriage|sex|videotape,http://www.imdb.com/title/tt0098724/?ref_=fn_tt_tt_1
One Flew Over the Cuckoo's Nest,1193,Milos Forman,Michael Berryman,Drama,Scatman Crothers,One Flew Over the Cuckoo's Nest ,Louise Fletcher,1960s|escape|mental institution|nurse|sexuality,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1
12 Angry Men,1203,Sidney Lumet,Lee J. Cobb,Crime|Drama,Jack Warden,12 Angry Men ,John Fiedler,courtroom|dialogue driven|dialogue driven storyline|jury|murder,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1
12 Angry Men,77846,Sidney Lumet,Lee J. Cobb,Crime|Drama,Jack Warden,12 Angry Men ,John Fiedler,courtroom|dialogue driven|dialogue driven storyline|jury|murder,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1
To Kill a Mockingbird,1207,Robert Mulligan,Brock Peters,Crime|Drama,Robert Duvall,To Kill a Mockingbird ,William Windom,1930s|alabama|lawyer|six year old|trial,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1
Amadeus,1225,Milos Forman,F. Murray Abraham,Biography|Drama|History|Music,Jeffrey Jones,Amadeus ,Tom Hulce,1800s|classical composer|composer|first person narration|opera,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1
Raging Bull,1228,Martin Scorsese,Cathy Moriarty,Biography|Drama|Sport,Robert De Niro,Raging Bull ,Frank Vincent,boxing|domestic violence|hot temper|jealousy|rage,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1
Dead Poets Society,1246,Peter Weir,Josh Charles,Comedy|Drama,Robin Williams,Dead Poets Society ,Kurtwood Smith,education|english teacher|poet|professor|student,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1
Gandhi,1293,Richard Attenborough,Amrish Puri,Biography|Drama|History,Candice Bergen,Gandhi ,John Gielgud,british|india|indian|muslim|pakistan,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1
Sling Blade,1358,Billy Bob Thornton,Dwight Yoakam,Drama,Robert Duvall,Sling Blade ,J.T. Walsh,friend|mental institution|murder|repair shop|small town,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1
Marvin's Room,1399,Jerry Zaks,Robert De Niro,Drama,Leonardo DiCaprio,Marvin's Room ,Meryl Streep,house|leukemia|mental institution|nursing home|transplant,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1
Ghosts of Mississippi,1401,Rob Reiner,Virginia Madsen,Drama|History,Alexa PenaVega,Ghosts of Mississippi ,Craig T. Nelson,activist|assassin|civil rights|trial|widow,http://www.imdb.com/title/tt0116410/?ref_=fn_tt_tt_1
Prefontaine,1442,Steve James,Laurel Holloman,Biography|Drama|Romance|Sport,Kurtwood Smith,Prefontaine ,Amy Locane,long distance runner|olympics|oregon|runner|watching television,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1
The Last Time I Committed Suicide,1567,Stephen Kay,Marg Helgenberger,Biography|Drama,Keanu Reeves,The Last Time I Committed Suicide ,Gretchen Mol,1940s|female bare foot|picket fence|tire|vomiting,http://www.imdb.com/title/tt0119502/?ref_=fn_tt_tt_1
Soul Food,1621,George Tillman Jr.,Mekhi Phifer,Comedy|Drama,Vanessa Williams,Soul Food ,Vivica A. Fox,1990s|family relationships|food in title|sister|unity,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1
Ulee's Gold,1633,Victor Nunez,Patricia Richardson,Drama,Peter Fonda,Ulee's Gold ,Vanessa Zima,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,http://www.imdb.com/title/tt0120402/?ref_=fn_tt_tt_1
Hurricane Streets,1659,Morgan J. Freeman,Heather Matarazzo,Crime|Drama|Romance,Edie Falco,Hurricane Streets ,Lynn Cohen,gang|new mexico|prison|smuggling|theft,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1
Eve's Bayou,1660,Kasi Lemmons,Lynn Whitfield,Drama,Jurnee Smollett-Bell,Eve's Bayou ,Diahann Carroll,doctor|louisiana|secret|title directed by female|witchcraft,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1
Boogie Nights,1673,Paul Thomas Anderson,Nicole Ari Parker,Drama,Don Cheadle,Boogie Nights ,Nina Hartley,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,http://www.imdb.com/title/tt0118749/?ref_=fn_tt_tt_1
Kundun,1730,Martin Scorsese,Tulku Jamyang Kunga Tenzin,Biography|Drama|History|War,Tenzin Thuthob Tsarong,Kundun ,Tencho Gyalpo,chinese|dalai lama|lama|tibet|tibetan,http://www.imdb.com/title/tt0119485/?ref_=fn_tt_tt_1
Eden,1815,Shyam Madiraju,Ethan Peck,Drama|Thriller,Jessica Lowndes,Eden ,Brad Schmidt,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1
Eden,127184,Shyam Madiraju,Ethan Peck,Drama|Thriller,Jessica Lowndes,Eden ,Brad Schmidt,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1
Eden,103203,Shyam Madiraju,Ethan Peck,Drama|Thriller,Jessica Lowndes,Eden ,Brad Schmidt,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1
Eden,143703,Shyam Madiraju,Ethan Peck,Drama|Thriller,Jessica Lowndes,Eden ,Brad Schmidt,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1
He Got Game,1840,Spike Lee,Milla Jovovich,Drama|Sport,Denzel Washington,He Got Game ,Rosario Dawson,basketball|basketball player|female nudity|porn actor in mainstream movie|prison,http://www.imdb.com/title/tt0124718/?ref_=fn_tt_tt_1
Gentleman's Agreement,1940,Elia Kazan,Celeste Holm,Drama|Romance,Dean Stockwell,Gentleman's Agreement ,John Garfield,bigotry|jewish|prejudice|racism|writer,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1
Hamlet,1941,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,1941,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,2820,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,2820,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,3723,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,3723,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,65665,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,65665,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,90704,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,90704,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,94410,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,94410,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,175059,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,175059,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,1411,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,1411,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,3598,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
Hamlet,3598,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1
All the King's Men,1942,Steven Zaillian,Anthony Hopkins,Drama|Thriller,Kate Winslet,All the King's Men ,Kevin Dunn,governor|journalist|louisiana|mistress|politician,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1
All the King's Men,48326,Steven Zaillian,Anthony Hopkins,Drama|Thriller,Kate Winslet,All the King's Men ,Kevin Dunn,governor|journalist|louisiana|mistress|politician,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1
Midnight Cowboy,1952,John Schlesinger,Barnard Hughes,Drama,Brenda Vaccaro,Midnight Cowboy ,John McGiver,gay|homosexual|homosexuality|hustler|male rear nudity,http://www.imdb.com/title/tt0064665/?ref_=fn_tt_tt_1
Rocky,1954,John G. Avildsen,Burgess Meredith,Drama|Sport,Sylvester Stallone,Rocky ,Carl Weathers,boxer|hometown hero|philadelphia pennsylvania|protective male|training,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1
Ordinary People,1956,Robert Redford,Elizabeth McGovern,Drama,Adam Baldwin,Ordinary People ,Judd Hirsch,choir|death|friend|suicide|therapy,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1
Chariots of Fire,1957,Hugh Hudson,Ben Cross,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,John Gielgud,athlete|jew|missionary|olympic games|race,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1
Rain Man,1961,Barry Levinson,Valeria Golino,Drama,Tom Cruise,Rain Man ,Beth Grant,buick|convertible|last will and testament|savant|travel,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1
Driving Miss Daisy,1962,Bruce Beresford,Jessica Tandy,Comedy|Drama|Family,Morgan Freeman,Driving Miss Daisy ,Patti LuPone,1950s|african american|jewish|old age|widow,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1
54,2188,Mark Christopher,Ellen Albertini Dow,Drama|Music,Salma Hayek,54 ,Sela Ward,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1
Easy Virtue,2225,Stephan Elliott,Kristin Scott Thomas,Comedy|Romance,Colin Firth,Easy Virtue ,Kris Marshall,estate|female frontal nudity|female nudity|no panties|unhappy marriage,http://www.imdb.com/title/tt0808244/?ref_=fn_tt_tt_1
Easy Virtue,68963,Stephan Elliott,Kristin Scott Thomas,Comedy|Romance,Colin Firth,Easy Virtue ,Kris Marshall,estate|female frontal nudity|female nudity|no panties|unhappy marriage,http://www.imdb.com/title/tt0808244/?ref_=fn_tt_tt_1
Rounders,2231,John Dahl,Martin Landau,Crime|Drama,Matt Damon,Rounders ,Gretchen Mol,breasts|cult film|loan shark|poker|reference to christy turlington,http://www.imdb.com/title/tt0128442/?ref_=fn_tt_tt_1
Simon Birch,2236,Mark Steven Johnson,Jan Hooks,Comedy|Drama|Family,Oliver Platt,Simon Birch ,Dana Ivey,boy|christmas|christmas pageant|friendship|illegitimate son,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1
Without Limits,2237,Robert Towne,Monica Potter,Biography|Drama|Sport,Billy Burke,Without Limits ,Billy Crudup,car crash|coach|death|oregon|university of oregon,http://www.imdb.com/title/tt0119934/?ref_=fn_tt_tt_1
